citizen_id,name,surname,sex,birthday,household_id,occupation_id,branch_id
1,Helen,CRANE,f,1964-02-10,1,312,10
2,Jax,CRANE,m,1943-07-04,1,265,5
3,Lois,CRANE,f,2012-03-12,1,,
4,Gail,LARA,f,1967-04-23,2,331,10
5,Aidan,LARA,m,1992-12-07,2,352,5
6,Penelope,LARA,f,1991-03-14,2,931,6
7,Declan,LARA,m,2012-07-09,2,,
8,Kirsten,NELSON,f,1950-06-19,3,931,10
9,Bradley,NELSON,m,1988-01-06,3,832,6
10,Finley,NELSON,m,1983-05-11,3,513,1
11,Muhammad,BRANCH,m,1982-06-25,4,312,6
12,Aidan,BRANCH,m,2019-03-28,4,,
13,Claire,BRANCH,f,2005-07-02,4,,
14,Rhiannon,BRANCH,f,2009-02-10,4,,
15,Hollie,KLEIN,f,1979-02-15,5,933,9
16,Elliot,KLEIN,m,2019-03-29,5,,
17,Abbie,KLEIN,f,2013-06-15,5,,
18,Lara,"Source: U.S. Census Bureau, 2010 Census.",f,1957-12-28,6,221,10
19,Charlene,"Source: U.S. Census Bureau, 2010 Census.",f,1977-08-01,6,832,5
20,Ethan,MIDDLETON,m,1941-10-20,7,265,9
21,Heidi,MIDDLETON,f,2000-03-14,7,931,7
22,Ailsa,MIDDLETON,f,2003-06-03,7,,
23,Maria,GILLESPIE,f,1944-05-14,8,143,5
24,Stuart,GILLESPIE,m,1951-12-18,8,933,4
25,Ruth,GILLESPIE,f,1994-11-07,8,811,8
26,Sara,FINLEY,f,1964-08-18,9,513,6
27,Aimee,FINLEY,f,1989-02-01,9,931,7
28,Denise,FINLEY,f,1995-01-04,9,315,6
29,Ada,LEWIS,f,1981-02-13,10,941,7
30,Jade,LEWIS,f,2012-08-17,10,,
31,Chloe,MCCULLOUGH,f,1980-05-19,11,931,6
32,Oscar,MCCULLOUGH,m,1988-03-18,11,512,5
33,Grayson,MCCULLOUGH,m,2015-11-02,11,,
34,Luca,MCCULLOUGH,m,2013-11-17,11,,
35,Finley,PATRICK,m,1964-12-16,12,315,7
36,Gracie,PATRICK,f,1991-11-16,12,811,10
37,Grant,PATRICK,m,2017-02-25,12,,
38,Suzanne,ANDERSON,f,1963-11-06,13,933,6
39,Dominic,ANDERSON,m,2002-10-28,13,,
40,Holly,ANDERSON,f,2018-09-10,13,,
41,Nina,KEMP,f,1944-05-02,14,941,6
42,Bryan,ONEAL,m,1971-01-28,15,352,5
43,Elise,PETERSEN,f,1933-05-17,15,513,9
44,Arlene,LE,f,1933-07-10,16,751,1
45,Lindsey,DAVID,f,1955-07-14,16,512,4
46,Bradley,MONTES,m,1968-03-24,16,751,3
47,Darcy,BURTON,f,1974-05-12,17,512,6
48,Wayne,BENTLEY,m,1968-03-24,17,352,6
49,Kathleen,BERGER,f,1934-03-17,17,833,7
50,Lily,STAFFORD,f,1943-04-10,18,811,9
51,Penelope,BUCK,f,1965-07-06,18,265,5
52,Bradley,RUSSO,m,2000-03-15,18,941,7
53,Kirstie,REYNOLDS,f,1993-11-27,18,513,1
54,Leon,KNAPP,m,1933-04-09,19,513,10
55,Lisa,BURTON,f,1974-01-15,20,132,10
56,Adam,SAVAGE,m,1963-07-21,21,,
57,Allison,SAVAGE,f,1992-06-29,21,,
58,Charles,SAVAGE,m,2019-01-10,21,,
59,Peter,SAVAGE,m,2018-09-09,21,,
60,Leo,HUMPHREY,m,1983-04-30,22,,
61,Lucy,HUMPHREY,f,1984-11-08,22,,
62,Ciara,HUMPHREY,f,2018-04-17,22,,
63,Adrian,HUMPHREY,m,2015-10-29,22,,
64,Iain,HUMPHREY,m,2011-10-22,22,,
65,Bella,DECKER,f,1936-11-03,23,,
66,Ian,DECKER,m,2013-12-24,23,,
67,Sonny,DECKER,m,2004-07-07,23,,
68,Anne,DECKER,f,1995-02-01,23,,
69,Hannah,PARRISH,f,1997-09-19,24,,
70,Jon,PARRISH,m,1955-01-25,24,,
71,Catriona,PARRISH,f,2020-09-11,24,,
72,Kenzie,PORTILLO,m,1976-01-07,25,,
73,Jill,PORTILLO,f,2019-01-01,25,,
74,Keir,PORTILLO,m,2013-10-16,25,,
75,Sharon,PORTILLO,f,2003-04-04,25,,
76,Riley,ONEAL,m,1931-10-03,26,,
77,Tracey,ONEAL,f,1964-07-14,26,,
